deaf	titreDees	genre	vers	lieuComposition	dateComposition	lieuManuscrit	dateManuscrit	qualite	lieuCompositionType	dateCompositionType	lieuManuscritType	dateManuscritType	genreType	rmques
PoignEnfM*, DeuxChevM*, EnsMorM*	Des poignes d'enfer, les deux chevaliers, enseignement moral	1) Des poignes d'enfer: légende pieuse ; 2)Les II chevaliers : enseignement moral; 3) enseignement moral: enseignement moral	oui	nil	1310pm10	bourg.	1310pm10	ms1	nil	1emxive	bourgfrc	1emxive	nil	-
MarieGuig_P	nil	lai	oui	Nord-Ouest.	1165ca	pic.	1290pm10	?	ouest	2emxiie	pic	2emxiiie	narrbref	-
RenN_I	nil	nil	oui	nil	1188pm13	nil	nil	ms1	nil	2emxiie	nil	nil	narrbref	-
CharroiSch_A2*	Le charroi de Nimes, ms. A2	épopée du cycle de Guillaume d'Orange	oui	nil	1150pm17	frc.	1263pm13	ms1	nil	mxiie	bourgfrc	2emxiiie	chgeste	-
FlorOctOctV	Octavian, v. 1-804	roman antique en octosyllabes	oui	pic.	1275pm25	pic.	1290pm10	ms2	pic	2emxiiie	pic	2emxiiie	roman	-
MaccabES	La chevalerie de Judas Macabé, ms. E, v. 1-1546	traduction en vers	oui	pic.	1285	Nord	1290pm10	ms1	pic	2emxiiie	pic	2emxiiie	nil	-
NoomenFabl_transD*	Fabliaux nrs 2 et 4 du ms. D	fabliau	oui	pic.	1250pm50	frc.	1290pm10	ms	pic	mxiiie	bourgfrc	2emxiiie	narrbref	-
GirVianeE	Girart de Vienne, par Bertrand de Bar-sur-Aube, v. 1-1024	chanson de geste à laisses assonancées rattachée au cycle de Guillaume d'Orange	oui	champ. mérid.	1210pm10	bourg.	1270ca	cr2	champ	1emxiiie	bourgfrc	2emxiiie	chgeste	-
SThibAlM	La vie de saint Thibaut	vie de Saint	oui	bourg.	1290pm10	bourg.	1290pm10	ms2	bourgfrc	2emxiiie	bourgfrc	2emxiiie	hagio	-
Turp1M	[PVR] Chronique dite Saintongeaise, chap.1-11 A. de Mandach, Beihefte zur ZfRP, Tuebingen 1970 Ms Lee,Aberystwyth Nation.Lib. of Wales ms 5005 13e s.	chronique historique	non	saint.	1217pm17	poit.	1275pm25	ms	sudouest	1emxiiie	centre	2emxiiie	hist	val lieu ?
NoomenFabl_transA*	Fabliaux nrs 1,2,4,23 et 29 du ms. A	fabliau	oui	pic.	1250pm50	frc.	1288pm13	ms	pic	mxiiie	bourgfrc	2emxiiie	narrbref	-
BalJosPr1M	L'histoire de Barlaam et Josaphat, p. 29,1-102,43	légende orientale en prose	non	champ.	1217pm17	est	1290pm10	cr3	champ	1emxiiie	bourgfrc	2emxiiie	narrbref	-
OmbreB1	[PVR] Le Lai de l'Ombre J. Bedier, Fribourg 1890 nv 13e s	conte courtois	oui	pic.	1221ca	frc.	1288pm13	cr1	pic	1emxiiie	bourgfrc	2emxiiie	narrbref	-
YvainL_V	Le chevalier au lion de Chrétien de Troyes v. 1-1000, ms. V	roman arthurien en octosyllabes	oui	champ. mérid.	1177ca	frc.	1290pm10	ms1	champ	2emxiie	bourgfrc	2emxiiie	roman	-
PhMézPel_A	nil	nil	non	pic.	1389	nil	1400ca	ms1	pic	2emxive	nil	1emxve	poalleg	-
SJeanBoucheD	La vie de saint Jehan Bouche d'Or	vie de Saint	oui	pic.	1200ca	pic.	1370	cr1	pic	1emxiiie	pic	2emxive	hagio	-
ElesoS	Bruchstueck des romanz des eles von Raol von Houdan	poème didactique	oui	pic.	1207pm7	Nord-Est	1310pm10	ms	pic	1emxiiie	bourgfrc	1emxive	poalleg	-
RouH_3a	Le roman de Rou de Wace, tome I, 3e partie v. 273-1018, ms. A	chronique historique	oui	norm.	1167pm7	agn.	1210pm10	cr2	ouest	2emxiie	agn	1emxiiie	hist	-
RCambr2M	Raoul de Cambrai, v. 6250-8726 (seconde main)	chanson de geste à laisses rimées	oui	Nord-Est	1190pm10	Nord	1275pm25	cr1	pic	2emxiie	pic	2emxiiie	chgeste	-
